Time_s,ChamberPressure_BarA_ButterFilter_mean,ChamberPressure_BarA_ButterFilter_std,HeatRelease_ButterFilter_mean,HeatRelease_ButterFilter_std,CumulativeHeatRelease_ButterFilter_mean,CumulativeHeatRelease_ButterFilter_std,MainInjector_CurrentProfile_mean,MainInjector_CurrentProfile_std
-0.0050000000051397,58.292901379775934,7.439169647221688,1559.9913469013684,29752.848794359124,21171.685509213752,12654.504656020443,-0.19499689497960415,0.14970479883512128
-0.0049980000051377,58.29599859969667,7.409223777783063,1545.1831629525193,29697.85669955262,21174.790683723553,12595.486589713271,-0.12574246063864575,0.20903282260483505
-0.0049960000051356,58.299089201558424,7.379313578208976,1530.3364447099232,29642.690165526525,21177.866203331272,12536.580634515803,-0.0023831983284013925,0.16674069674399006
-0.0049940000051336,58.302172978610564,7.349440418403637,1515.4513747470157,29587.349722987216,21180.911991150762,12477.787157138057,0.1058255439661717,0.12671231357495175
-0.0049920000051315,58.30524972377996,7.319605669685379,1500.5281369001125,29531.835907697172,21183.927970662542,12419.106523459877,-0.0932802599220356,0.185717720201874
-0.0049900000051295,58.308319229687605,7.289810704682608,1485.5669162646034,29476.149260466398,21186.914065715824,12360.539098500374,-0.212310716356058,0.13482412661738336
-0.0049880000051274,58.31138128866525,7.260056897228416,1470.5678991910775,29420.290327143666,21189.870200531503,12302.08524643453,-0.17984700259249112,0.21133921591414556
-0.0049860000051253,58.314435692772236,7.230345622253962,1455.5312732814102,29364.25965860754,21192.796299704278,12243.745330563059,0.04306461170166742,0.1629477233226708
-0.0049840000051233,58.317482233812285,7.20067825568057,1440.4572273847887,29308.057810757215,21195.69228820514,12185.519713328882,0.06687002388191315,0.14316491794438982
-0.0049820000051212,58.32052070335061,7.171056174310468,1425.3459515936968,29251.685344503123,21198.558091384508,12127.40875628726,-0.10842959970017334,0.19105041999198263
-0.0049800000051192,58.32355089273091,7.141480755716197,1410.1976372398458,29195.142825757437,21201.39363497363,12069.412820122378,-0.2123104950879455,0.12441757367634884
-0.0049780000051171,58.326572593092614,7.111953378128605,1395.0124768900469,29138.43082542434,21204.19884508823,12011.532264617672,-0.11275701151351485,0.2362943454682105
-0.0049760000051151,58.32958559538813,7.082475420323463,1379.7906643420456,29081.549919390072,21206.97364822983,11953.767448672517,0.06254233684051462,0.1730268438993983
-0.004974000005113,58.33258969040023,7.053048261506596,1364.5323946202795,29024.50068851283,21209.717971289345,11896.118730272776,0.051720691961724484,0.12650887775943576
-0.004972000005111,58.33558466875954,7.023673281197534,1349.237863971631,28967.283718612423,21212.431741548397,11838.586466507557,-0.12141470557448612,0.18231942860560021
