Time_s,Backpressure,ChamberGasTemperature,IntakePressure,FuelPressure,MainInjector_CurrentProfile,ControlOilToInjector,ChamberPressure_BarA_,TemperatureAcc_IdealGasLaw,ChamberPressure_BarA_ButterFilter,Derivate_filtered_pressure,HeatRelease_ButterFilter,CumulativeHeatRelease_ButterFilter
-0.0049999999873762,2.8014886956854603,1168.8534675899584,2.1397144174943383,1677.735218846034,-0.305369411780264,30.443102824335764,39.47502478010169,1407.8755590614005,36.589217265241736,4505729492.224667,75297.46722096931,0.0
-0.0049979999873812,2.728888625398578,1168.4394337999283,2.1622649085975763,1759.1301265348768,0.0841854136492665,29.057621566629827,54.53513022996579,1412.168373430381,36.67933185486094,4506010092.028564,75149.14870820715,150.44661555305427
-0.0049959999873863,2.53725604492832,1200.468117263592,1.9327257693700848,1682.5964210397924,0.20105024722194,29.466885221999036,43.76332866956724,1454.458712816818,36.76945766846774,4506484201.907471,75000.3674825505,300.5961313608789
-0.0049939999873913,2.3989849610563,1180.4397123920105,2.119710904473898,1793.941793885347,-0.0196990356988847,27.890200747040527,53.54631909427477,1508.7707943371245,36.85959122248209,4506784096.874268,74851.12495853138,450.4476234273914
-0.0049919999873964,2.8153599559619806,1281.841878353047,1.8531446768019904,1814.8617886481263,-0.33134181454294,28.743889851595107,43.49703488347887,1569.6753037426884,36.94972903188753,4506909716.589355,74701.42256385389,600.0001705683662
-0.0049899999874014,2.497564192532132,1238.033624085392,1.963539413271827,1896.394457876627,-0.253429198494631,30.19319023043918,54.96433151497317,1563.706122169433,37.03986761069043,4506861023.533203,74551.26173936966,749.2528544984525
-0.0049879999874065,2.532092317117857,1252.452017763775,1.9075329384962247,1905.535161713055,0.0322450296724122,24.90459383499129,48.638742213369845,1534.4888105198015,37.130003472373666,4506638002.733643,74400.6439390528,898.2047597970608
-0.0049859999874115,2.390777678695012,1276.801310863615,1.98924630773435,1933.8656039379969,0.227020114527985,30.078382667118937,58.16547844361927,1497.5073791651469,37.22013313034461,4506240661.451538,74249.57062997426,1046.8549739944567
-0.0049839999874166,2.551533672615646,1312.4792428327637,1.9888597751545467,1854.1205260888985,-0.0846247135333707,27.100735031848004,51.73006385593756,1433.743531300226,37.310253098376606,4505669028.851929,74098.04329227585,1195.2025875384338
-0.0049819999874216,2.363816774147361,1295.3966978119438,2.0288576648855976,1783.7172786194667,-0.331341243419349,24.562203495315817,51.71868128859038,1471.0247904576215,37.400359891043614,4504923155.64209,73946.06341914358,1343.2466938797374
-0.0049799999874267,2.494505652377014,1348.9620849380465,1.9703297843498564,1767.163323402089,-0.162532593592281,28.975897728759534,49.26060406648188,1520.6053490020502,37.4904500241473,4504003113.710205,73793.6325167808,1490.9863894389389
-0.0049779999874317,2.401297076000479,1290.2010546222846,1.8856494878513297,1699.5442591166554,0.136126364690037,28.32294465147167,48.130132031021816,1497.575411171978,37.58052001513712,4502908995.782959,73640.75210438049,1638.4207736915087
-0.0049759999874368,2.873785331540045,1332.495301101429,2.0197650406624703,1659.7145364171145,0.265975855119158,26.39106809456901,57.35531882206547,1458.3651804204726,37.67056638352383,4501640915.109985,73487.42371409743,1785.5489491348228
-0.0049739999874418,2.5081914285464233,1359.4134095349714,1.9121277420991023,1567.3728155950794,-0.0326843266040196,29.895365297899524,50.13886498861778,1519.5009111251147,37.76058565128686,4500199005.154663,73333.64889101959,1932.3700213728819
-0.0049719999874469,2.521945191909967,1244.1330648812714,1.942267261632003,1608.4302761492766,-0.3573108665908,27.47582721434466,42.91800053634377,1459.6143569004244,37.850574343275504,4498583419.2854,73179.42919313918,2078.8830990834454
-0.0049699999874519,2.53978532765386,1341.019693805441,1.7644192488248065,1513.5983591442473,-0.0586520714339398,27.385037874686713,31.656940642828395,1524.151854839905,37.940528987603926,4496794330.503418,73024.76619132297,2225.0872941023918
-0.004967999987457,2.71945607610597,1413.100778165342,1.8518098035443649,1489.969409335725,0.0452297540672243,28.90340895106462,32.99648589247248,1611.351698010616,38.03044611604147,4494831931.271484,72869.66146928229,2370.981721390979
-0.004965999987462,2.5111225692581285,1389.226452937141,1.9926340166066037,1526.5458173048523,0.162094032385969,28.553850736866888,46.4676752163398,1483.606035185888,38.120322264400805,4492696433.453857,72714.1166235425,2516.565499119839
-0.0049639999874671,2.7212871383800117,1286.2430608362845,1.8799835189584724,1488.3632242498568,-0.149550553386118,29.36305133049041,47.91690580753707,1485.5128730167378,38.210153972925866,4490388068.303955,72558.133263412,2661.837748636362
-0.0049619999874721,2.5916364112126504,1322.4381333791605,1.9347172317066208,1459.4481017882358,-0.357310626700435,27.05973607551983,52.73951593521753,1554.1494319598885,38.299937786679436,4487907086.39978,72401.71301095058,2806.7975945483195
-0.0049599999874772,2.7041973466709983,1265.217778576433,1.99578714346341,1462.5834596597306,-0.0196956045285456,27.074230817013945,54.8479434582865,1510.5598058545584,38.38967025592855,4485253757.475464,72244.85750093742,2951.444164691309
-0.0049579999874822,2.85082509990629,1216.2795732331656,2.059394517528921,1503.160537114938,0.214036044480287,27.63697336242558,50.15562056039738,1396.6498420328785,38.47934793652544,4482428370.170654,72087.56838083852,3095.776590212311
-0.0049559999874873,2.361719760585223,1230.063207814719,1.990458111509313,1483.6953435601276,0.0841828900026301,27.992062037289084,47.46008459974015,1453.1581412827331,38.568967390282666,4479431231.726318,71929.8473107737,3239.7940055366294
-0.0049539999874923,2.6891938884440525,1204.7451180723788,2.2658920836537746,1549.2056104607816,-0.201490042940975,29.262423048600343,57.13649879665641,1381.7134963436888,38.658525185342036,4476262667.672607,71771.69596348294,3383.4955484516267
-0.0049519999874974,2.5253254357907,1292.7121455558115,2.105025331811973,1475.5977719581483,-0.188503606836145,29.294718339166828,54.16924649642162,1418.40731965222,38.74801789653747,4472923021.535767,71613.11602429242,3526.8803600737833
-0.0049499999875024,2.718906763761539,1128.1211800804958,1.993978144298804,1473.86135773473,0.0192593972003042,27.58656879904264,51.74743666459692,1483.4917113618392,38.837442105751705,4469412654.509277,71454.10919107987,3669.9475849314827
-0.0049479999875075,2.5930484053146037,1239.1198789306663,1.9847824907784597,1502.4500935745634,0.149110767262698,28.181612421081816,50.13056467764663,1528.72447147532,38.92679440226643,4465731945.127441,71294.6771742396,3812.696370932805
-0.0049459999875125,2.544587300233191,1123.5912472657287,1.860410972772046,1465.935023164193,0.149108174970511,25.495857936678615,47.4297052543985,1527.7841254388595,39.01607138310576,4461881288.945557,71134.82169664698,3955.125869447613
-0.0049439999875176,2.565567866330608,1167.7807274700667,2.192787296799187,1499.4896455447524,-0.26641686320719,27.79620391575179,50.91780872261659,1411.3908440213172,39.10526965337361,4457861098.258301,70974.5444936225,4097.235235275516
-0.0049419999875226,2.6818049432275153,1234.9213754221282,1.7023430394134302,1444.2825282700032,-0.370295044404643,26.83387798999783,38.67610878760837,1509.4915105710083,39.19438582658585,4453671801.857666,70813.84731289529,4239.023626727558
-0.0049399999875277,2.6636823809052865,1074.6334463722633,1.6429150919063065,1520.9264694395083,0.0971700564813547,29.955098266400448,37.332413473913334,1591.7570365677266,39.2834165249981,4449313844.846924,70652.73191456612,4380.490205594292
-0.0049379999875327,2.624185054880985,1135.741095566954,1.9051655123579252,1504.395603321351,0.123139844808111,23.82226924706532,53.80781507448785,1494.195977002118,39.37235837993035,4444787688.506592,70491.20007106994,4521.634137227063
-0.0049359999875378,2.519382355945218,1047.5820728267583,1.83117940065369,1464.014931193633,0.0452270774443753,29.26110005584774,43.06997560529272,1484.3568904100648,39.46120803208945,4440093810.194946,70329.25356713796,4662.454590506191
-0.0049339999875428,2.5734182116195647,1102.3325783291436,1.895796283191012,1485.9424092565284,-0.266416619257142,26.100219484822244,47.62070087180248,1500.3066282752716,39.54996213188969,4435232703.226807,70166.89419975916,4802.950737921843
-0.0049319999875479,2.472345429724564,1054.8666542205638,1.8196367617437017,1493.6408453672198,-0.331340447167854,30.27879273049448,38.026655238189846,1472.9512731399218,39.63861733977058,4430204876.74353,70004.1237781414,4943.12175554232
-0.0049299999875529,2.4919324315114006,1012.1504084402376,1.3420729380326266,1511.381280096496,-0.032681075166923,29.272471682391256,25.532700128003107,1672.6673954804032,39.72717032651199,4425010855.604004,69840.94412367194,5082.966823094515
-0.004927999987558,2.7387170468775155,1001.1543225703564,1.8676244115445944,1484.64953571894,0.162095258041201,27.14370017862296,55.02673012305792,1492.1204886952664,39.81561777354779,4419651180.346436,69677.35706987766,5222.485123932245
-0.004925999987563,2.6814615278505687,989.967395939278,2.020150560368046,1468.98516461724,0.0452266777500939,25.745194301858128,46.22196921518632,1448.312025203476,39.903956373279456,4414126407.184692,69513.36446238453,5361.675845116585
-0.0049239999875681,2.4838910104823153,1071.2527859126994,2.207695051231278,1458.58377271918,-0.331341982835255,27.36246737621032,57.24204959119368,1387.376192486956,39.992182829389364,4408437107.94751,69348.96815887697,5500.538177383701
-0.0049219999875731,2.7414332390422196,984.089795968384,2.0262170469855105,1507.548866973699,-0.279398852851845,27.48471978627809,55.3134377793759,1436.9307729010434,40.080293857152064,4402583869.791992,69184.17002905632,5639.071315225296
-0.0049199999875781,2.5795183482868858,1085.193357436518,2.0224676179980845,1516.929201243501,0.136125790983003,29.020972671093,50.666187638756135,1418.5710801694731,40.16828618374082,4396567295.50769,69018.97195459905,5777.274456863498
