Time_s,Backpressure,ChamberGasTemperature,IntakePressure,FuelPressure,MainInjector_CurrentProfile,ControlOilToInjector,ChamberPressure_BarA_,TemperatureAcc_IdealGasLaw
-0.0049999999873762,2.407158513196328,1452.9369846193788,1.9060861461719008,1889.6813937166085,0.123138446431816,26.44735320756815,61.20505710856004,1520.5883137752285
-0.0049979999873812,2.4900368156442356,1518.0851960048237,2.0739597097714855,1897.5803333268673,-0.175520425120909,28.74378046965845,68.32868931682691,1486.270703978642
-0.0049959999873863,2.5821015122006115,1521.1382017420433,2.1098810295053605,1855.0343793515613,-0.292384521307507,26.131277893809635,61.06441890920649,1414.8124395524233
-0.0049939999873913,2.446713996990514,1485.666086150847,2.1201049085594335,1864.6560204906873,0.0452294313224183,28.850813127071298,52.702854510116694,1463.9872042991112
-0.0049919999873964,2.193497386841668,1524.199167137327,1.8943103427688177,1797.8677160366876,0.110154784935855,30.08388341303121,56.02900818641066,1557.9903059001522
-0.0049899999874014,2.5011676075200615,1448.2783895231855,1.8432090115273676,1772.9742656087567,0.0582122779292682,30.194776314110626,52.63229669364699,1515.069645029325
-0.0049879999874065,2.6353001799425515,1600.5834414519995,1.9507785243042362,1714.4334400484793,-0.253431078681497,29.525857477442194,47.86168287999668,1472.2492489736965
-0.0049859999874115,2.3921110870054623,1504.670623070881,1.751211491106901,1678.2515100704445,-0.266414416694532,28.915454349212176,53.867210802986506,1594.4061477142632
-0.0049839999874166,2.5145825818650454,1465.7254337740692,1.8135844299463455,1607.0239364447352,0.0192593209889806,26.728837013013774,51.500674947397414,1539.8329891617177
-0.0049819999874216,2.5204073600265082,1579.8223721980114,1.5148525637636308,1616.3523516207713,0.136124568095736,28.39008626849747,50.78355650381203,1703.8867743127807
-0.0049799999874267,2.530964038890477,1546.8886807250337,1.3317839103818847,1585.0430804984533,-0.0196996035008888,30.69666419272489,50.051633878885475,1697.4809591970907
-0.0049779999874317,2.50756764513942,1583.4586037612567,1.29620954830842,1554.505847823639,-0.422238017905718,31.005407748980055,46.570678782165146,1678.7484874584202
-0.0049759999874368,2.5201031377651066,1637.673492819074,1.8585059182850894,1536.222235678293,-0.292384612465846,26.845319855063508,54.21763506055382,1530.4183825969048
-0.0049739999874418,2.452168841103086,1612.0942583037886,1.7796924502996507,1603.117919704307,0.0322442928399305,29.99918440187003,59.11307255254973,1527.0945886395823
-0.0049719999874469,2.6400480075762047,1560.5760233876006,1.9893152655223536,1540.2973085433118,0.110154297035754,27.156332145696936,61.93374699181414,1470.686258856093
-0.0049699999874519,2.7262494096110004,1621.7388230390666,2.0681220222051664,1551.714720270596,-0.0196991084040893,27.156897913995795,69.63677084178828,1445.0933179244812
-0.004967999987457,2.4773294184123684,1549.1822615115204,2.2356699978688592,1529.0085394594148,-0.344326303660656,26.69818338262543,58.836152443065,1384.0335956164877
-0.004965999987462,2.7159747076704686,1616.864874038154,2.170983498430079,1535.230840505689,-0.149547949283944,28.11596428523061,53.12304332453415,1383.2171579448286
-0.0049639999874671,2.3078384810436887,1681.8975878065212,2.322133439729569,1568.3762361687634,0.0582159488054409,29.522234668403886,63.14663793639679,1301.9689344383203
-0.0049619999874721,2.733582850049162,1661.2923276387064,2.273767596974066,1573.5756654563554,0.330901624850107,28.582139647790083,59.481671127015886,1429.935025083536
-0.0049599999874772,2.4067052777122093,1720.0254117325426,2.0534569209953073,1588.2184348236992,-0.0196992665472279,27.509015892939495,57.6039132928639,1444.7494771563518
-0.0049579999874822,2.504548253994138,1740.3058727781458,1.8489285657468633,1513.5379545638061,-0.370296414547709,31.6921879745012,56.33101430170697,1537.1293374271766
-0.0049559999874873,2.4402668069106284,1798.4841922113562,1.8516192431280623,1503.0580169916961,-0.123576866287343,28.860889667824654,57.57840214091223,1519.9978798321
-0.0049539999874923,2.5378611494257184,1726.3751109668483,2.0758416640431205,1482.4389062970547,0.188066503056064,29.77475592273383,68.60083693406602,1421.156470369256
-0.0049519999874974,2.3573157384044006,1810.610222480802,1.958033498178253,1429.2561564982568,0.20104936663977,27.926439860870815,58.33359438150576,1434.7368960660363
